carrera,legajo,fecha_ingreso
212,4581,24/02/10
206,3213,15/04/02
206,3701,15/04/02
206,649,15/04/02
206,126,15/04/02
209,897,15/04/02
206,1593,15/04/02
206,6327,15/04/02
201,5702,15/04/02
211,5702,06/06/12
206,5867,15/04/02
206,2098,15/04/02
206,58,15/04/02
206,5630,15/04/02
206,294,15/04/02
206,4721,15/04/02
206,3457,15/04/02
208,3457,28/03/11
206,2309,15/04/02
206,2865,15/04/02
212,2865,09/02/10
206,4122,15/04/02
206,5406,15/04/02
206,1757,15/04/02
208,1757,14/02/11
206,966,15/04/02
204,478,16/04/02
206,1741,16/04/02
206,2877,16/04/02
206,1624,16/04/02
206,4618,16/04/02
206,1509,16/04/02
204,51,16/04/02
206,5756,16/04/02
206,978,16/04/02
206,3109,16/04/02
206,2586,16/04/02
206,6518,16/04/02
206,5396,16/04/02
206,4659,16/04/02
201,1230,16/04/02
211,1230,29/05/12
206,1665,16/04/02
206,2081,16/04/02
212,2081,05/09/07
206,3143,16/04/02
212,3143,11/02/11
206,6144,16/04/02
206,1644,16/04/02
212,1644,13/12/07
206,3667,16/04/02
206,6407,16/04/02
206,1401,19/04/02
206,3179,19/04/02
203,1481,19/04/02
209,1481,28/11/02
206,4712,30/04/02
206,5731,17/04/02
206,603,17/04/02
206,3631,17/04/02
206,6293,17/04/02
206,4096,17/04/02
206,1622,17/04/02
206,1226,17/04/02
206,791,17/04/02
206,4258,17/04/02
206,2727,17/04/02
206,2099,17/04/02
206,4974,17/04/02
206,3617,17/04/02
206,411,17/04/02
206,5307,17/04/02
206,800,17/04/02
206,2240,17/04/02
204,1881,17/04/02
206,1631,17/04/02
206,4511,17/04/02
204,3766,17/04/02
209,5998,17/04/02
206,5748,17/04/02
206,5297,18/04/02
206,4120,18/04/02
206,2052,18/04/02
206,4855,18/04/02
209,362,18/04/02
206,1488,18/04/02
201,1952,18/04/02
206,5706,18/04/02
206,281,18/04/02
206,2421,18/04/02
212,2421,14/02/11
213,2421,06/04/15
206,1241,18/04/02
205,5328,18/04/02
206,2911,18/04/02
206,1807,18/04/02
206,1135,18/04/02
209,752,18/04/02
206,1544,18/04/02
206,5792,18/04/02
206,3801,18/04/02
206,742,18/04/02
206,2914,18/04/02
206,5360,18/04/02
206,4351,18/04/02
206,48,18/04/02
206,5611,30/04/02
206,5044,30/04/02
206,5523,30/04/02
205,288,30/04/02
201,288,09/12/02
206,6427,30/04/02
206,2671,24/04/02
206,5465,24/04/02
206,3587,24/04/02
206,1778,24/04/02
206,370,24/04/02
206,4334,24/04/02
206,6247,24/04/02
206,1067,24/04/02
206,153,24/04/02
206,1610,24/04/02
212,1610,06/02/13
206,2940,24/04/02
206,2086,24/04/02
206,465,24/04/02
206,1147,30/04/02
212,1147,20/12/07
206,2968,30/04/02
206,5772,30/04/02
206,4101,30/04/02
206,4066,30/04/02
206,3613,30/04/02
212,3613,05/09/07
206,3550,30/04/02
206,5235,30/04/02
206,1634,30/04/02
206,2849,30/04/02
206,5400,30/04/02
206,3423,30/04/02
206,3685,30/04/02
203,4754,30/04/02
206,5174,30/04/02
206,33,30/04/02
206,1901,30/04/02
206,1597,30/04/02
206,4221,30/04/02
206,5816,30/04/02
206,6542,30/04/02
206,6432,30/04/02
206,1796,30/04/02
206,5486,30/04/02
206,5990,30/04/02
205,5990,05/12/02
206,6017,30/04/02
206,375,30/04/02
206,3236,30/04/02
206,2292,27/04/02
206,3058,01/03/99
206,284,01/04/78
203,453,01/04/79
206,2890,01/04/80
206,5211,01/04/80
206,3680,01/04/80
206,3001,01/04/80
206,3530,01/04/81
206,6499,01/04/81
206,6186,01/04/81
206,2668,01/04/82
206,3697,01/04/82
206,3349,01/04/82
206,209,01/04/82
206,6332,01/04/82
206,1933,01/04/82
206,4583,01/04/82
206,6147,01/04/82
206,383,01/04/82
206,5805,01/04/82
206,1261,01/04/82
207,4538,01/04/83
206,4538,29/03/83
206,680,01/04/83
206,3987,01/04/83
206,1133,01/04/83
206,4114,01/04/83
206,6318,01/04/83
206,591,01/04/83
206,2853,01/04/83
206,5329,01/04/83
206,4375,01/04/83
206,2355,01/04/83
212,2355,07/02/11
213,2355,17/03/16
206,1818,01/04/83
207,1322,01/04/83
208,1322,25/04/13
206,2570,01/04/83
206,66,01/04/83
206,6532,01/04/84
206,6028,01/04/84
206,1942,01/04/84
201,1942,29/03/00
206,4794,01/04/84
208,4794,23/02/05
206,1592,01/04/84
206,5039,01/04/84
206,1275,01/04/84
206,4597,01/04/84
206,1687,01/04/84
206,2372,01/04/84
211,4737,26/04/04
206,2624,01/04/84
206,2368,01/04/84
206,4354,01/04/84
206,872,01/04/84
206,431,01/04/84
206,2815,01/04/84
206,3699,01/04/84
206,2247,01/04/84
206,1919,01/04/84
206,5448,01/04/84
206,1101,01/04/85
212,1101,14/03/08
206,4259,01/04/85
206,5698,01/04/85
208,5698,13/03/03
206,3995,01/04/85
206,3783,01/04/85
206,1236,01/04/85
206,6184,01/04/85
206,2934,01/04/85
206,596,01/04/85
206,5057,01/04/85
206,1216,01/04/85
206,412,01/04/85
206,4810,01/04/85
206,2401,01/04/85
206,1282,01/04/85
206,3111,01/04/85
206,1287,01/04/85
206,1875,01/04/85
206,2343,01/04/85
206,4452,01/04/85
206,225,01/04/85
206,3032,01/04/85
206,3717,01/04/85
206,2611,01/04/85
206,820,01/04/85
207,820,19/03/07
206,3890,01/04/85
206,1761,01/04/85
206,4052,01/04/85
206,3895,01/04/85
206,2450,01/04/85
206,3159,01/04/85
206,1225,01/04/85
206,3405,01/04/85
206,1315,01/04/85
206,4769,01/04/85
206,1086,01/04/85
206,3060,01/04/86
206,845,01/04/86
206,2062,01/04/86
206,2251,01/04/86
206,656,01/04/86
206,6196,01/04/86
206,659,01/04/86
206,2369,01/04/86
206,5587,01/04/86
206,545,01/04/86
206,4196,01/04/86
206,6513,01/04/86
205,5746,01/04/86
206,169,01/04/86
206,1834,01/04/86
206,1976,01/04/86
206,2634,01/04/86
206,2486,01/04/86
206,4078,01/04/86
206,4815,01/04/86
206,1823,01/04/86
206,5459,01/04/86
212,5459,30/04/10
206,5476,01/04/86
206,5951,01/04/86
201,2818,13/03/86
206,3703,01/04/86
206,6440,01/04/86
206,585,01/04/86
206,4936,01/04/86
203,4936,01/03/04
206,5842,01/04/86
206,5180,01/04/86
206,672,01/04/86
206,661,01/04/86
206,162,01/04/86
206,4579,01/04/86
206,6274,01/04/86
206,3104,01/04/86
206,5856,01/04/86
206,1732,01/04/86
206,3478,01/04/86
206,4592,01/04/86
206,4952,01/04/86
206,1786,01/04/86
206,511,01/04/86
206,3139,01/04/86
206,1685,01/04/86
206,6238,01/04/86
206,4786,01/04/86
206,6198,01/04/86
206,886,01/04/86
206,3549,01/04/86
206,3853,01/04/86
211,1312,27/04/04
206,4478,01/04/86
206,1063,01/04/86
206,5726,01/04/87
206,6526,01/04/87
206,2856,01/04/87
206,3923,01/04/87
206,3434,01/04/87
206,3527,01/04/87
206,6257,01/04/87
206,2507,01/04/87
207,2507,28/02/06
213,2507,22/04/15
206,1077,01/04/87
206,5647,01/04/87
206,5103,01/04/87
206,77,01/04/87
206,3187,01/04/87
206,2665,01/04/87
206,324,01/04/87
206,5764,01/04/87
206,6225,01/04/87
206,1184,01/04/87
207,1184,02/03/05
206,2596,01/04/87
206,4074,01/04/87
206,4331,01/04/87
207,4331,22/03/10
208,4331,16/08/11
206,1638,01/04/87
213,1638,13/04/15
206,270,01/04/87
206,3397,01/04/87
206,332,01/04/87
206,6122,01/04/87
206,1522,01/04/87
206,5796,01/04/87
206,2352,01/04/87
206,5872,01/04/87
206,1469,01/04/87
206,6205,01/04/87
206,516,01/04/87
206,3808,01/04/87
206,1270,01/04/87
206,1227,01/04/87
206,3313,01/04/87
206,6520,01/04/87
206,2781,01/04/87
206,2337,01/04/87
206,409,01/04/87
206,2177,01/04/87
206,1755,01/04/87
206,5068,01/04/87
205,5068,29/03/87
206,4650,01/04/87
206,4128,01/04/87
206,5991,01/04/87
206,5118,01/04/87
206,6555,01/04/87
210,6555,01/04/87
213,6555,29/03/17
206,4309,01/04/87
206,2681,01/04/87
206,3065,01/04/87
206,4518,01/04/87
206,1248,01/04/87
206,911,01/04/87
206,3624,01/04/87
206,4456,01/04/87
206,1840,01/04/87
206,5199,01/04/87
206,1864,01/04/87
206,4131,01/04/87
206,4668,01/04/87
206,4665,01/04/87
206,5175,01/04/88
206,6228,01/04/88
206,945,01/04/88
206,6059,01/04/88
206,6334,01/04/88
206,5722,01/04/88
201,6493,04/02/05
206,4087,01/04/88
206,5678,01/04/88
206,925,01/04/88
206,1670,01/04/88
206,4556,01/04/88
206,1950,01/04/88
208,1950,13/07/07
206,4536,01/04/88
206,692,01/04/88
206,3999,01/04/88
206,1176,01/04/88
206,3121,01/04/88
206,2282,01/04/88
206,3917,01/04/88
206,5653,01/04/88
206,2537,01/04/88
206,4271,01/04/88
206,2795,01/04/88
206,4422,01/04/88
206,4860,01/04/88
206,3864,01/04/88
206,3402,01/04/88
206,4138,01/04/88
206,5761,01/04/88
206,1640,01/04/88
206,850,01/04/88
206,334,01/04/88
206,2106,01/04/88
207,2106,01/04/88
206,2620,01/04/88
206,2489,01/04/88
206,2861,01/04/88
206,6437,01/04/88
206,3958,01/04/88
206,4014,01/04/88
206,5617,01/04/88
206,1040,01/04/88
206,2987,01/04/88
206,3351,01/04/88
206,1082,01/04/88
206,1883,01/04/88
201,28,01/04/88
206,5962,01/04/88
206,4641,01/04/88
206,1320,01/04/88
206,2769,01/04/88
206,1480,01/04/88
206,1325,01/04/88
206,195,01/04/88
206,166,01/04/88
206,2974,01/04/88
206,5691,01/04/88
206,3504,01/04/88
206,1239,01/04/88
206,1200,01/04/88
206,1613,01/04/88
206,736,01/04/88
206,3352,01/04/88
206,5791,01/04/88
206,4660,01/04/88
206,1586,01/04/88
206,4184,01/04/88
206,3948,01/04/88
206,2808,01/04/88
206,2932,01/04/88
206,4398,01/04/88
206,1250,01/04/88
207,1250,01/04/88
206,161,01/04/88
206,629,01/04/88
206,705,01/04/88
206,3636,01/04/88
206,3286,01/04/88
206,3822,01/04/88
206,2418,01/04/88
206,359,01/04/88
206,4539,01/04/88
206,3720,01/04/88
206,346,01/04/88
207,346,06/03/09
206,3134,01/04/89
206,4821,01/04/89
206,1498,01/04/89
208,4016,23/04/04
206,4358,01/04/89
206,535,01/04/89
206,5773,01/04/89
206,4105,01/04/89
206,4084,01/04/89
206,2950,01/04/89
206,5124,01/04/89
206,2432,01/04/89
206,364,01/04/89
206,4212,01/04/89
206,2593,01/04/89
206,4942,01/04/89
206,3811,01/04/89
206,4925,01/04/89
206,5062,01/04/89
206,4069,01/04/89
206,4167,01/04/89
206,5141,01/04/89
206,3270,01/04/89
206,6502,01/04/89
206,6031,01/04/89
206,1605,01/04/89
206,2938,01/04/89
206,4701,01/04/89
206,4090,01/04/89
206,599,01/04/89
206,1499,01/04/89
206,5559,01/04/89
206,3135,01/04/89
208,4263,23/04/04
206,6210,01/04/89
206,2449,01/04/89
206,2835,01/04/89
206,2993,01/04/89
206,3565,01/04/89
206,1879,01/04/89
206,1898,01/04/89
206,3010,01/04/89
206,6380,01/04/89
206,5251,01/04/89
206,2366,01/04/89
206,1632,01/04/89
208,1632,20/02/07
206,1792,01/04/89
206,5,01/04/89
206,1939,01/04/89
206,948,01/04/89
206,1007,01/04/89
208,1007,13/07/07
206,5145,01/04/89
206,5983,01/04/89
206,4180,01/04/89
207,4180,01/04/89
206,3120,01/04/89
206,2621,01/04/89
206,3757,01/04/89
206,1296,01/04/89
206,3474,01/04/89
206,4379,01/04/89
206,1356,01/04/89
206,3607,01/04/89
206,6308,01/04/89
206,6460,01/04/89
206,5344,01/04/89
206,2384,01/04/89
206,6330,01/04/89
206,1340,01/04/89
206,4848,01/04/89
206,1099,01/04/89
206,442,01/04/89
206,6264,01/04/89
206,5098,01/04/90
206,4600,01/04/90
206,5955,01/04/90
206,3544,01/04/90
206,5548,01/04/90
206,5099,01/04/90
206,784,01/04/90
206,2862,01/04/90
206,4503,01/04/90
206,152,01/04/90
206,2837,01/04/90
206,651,01/04/90
201,809,01/04/90
206,4254,01/04/90
211,5200,14/03/08
206,3618,01/04/90
206,3837,01/04/90
206,5347,01/04/90
206,4735,01/04/90
206,846,01/04/90
206,4226,01/04/90
206,3687,01/04/90
206,5262,01/04/90
206,1244,01/04/90
206,3971,01/04/90
206,1906,01/04/90
206,89,01/04/90
206,53,01/04/90
206,1578,01/04/90
206,247,01/04/90
206,640,01/04/90
206,5346,01/04/90
206,2983,01/04/90
206,5454,01/04/90
206,5450,01/04/90
206,5119,01/04/90
206,501,01/04/90
206,1299,01/04/90
206,2310,01/04/90
206,5449,01/04/90
206,376,01/04/90
206,832,01/04/90
206,165,01/04/90
206,2122,01/04/90
206,5775,01/04/90
206,5198,01/04/90
206,1988,01/04/90
201,5699,01/04/90
205,5699,01/04/90
206,3784,01/04/90
206,1381,01/04/90
206,1589,01/04/90
206,918,01/04/90
206,4451,01/04/90
206,5619,01/04/90
206,56,01/04/90
206,4129,01/04/90
206,4200,01/04/90
206,2979,01/04/90
206,1874,01/04/90
206,3328,01/04/90
206,5858,01/04/90
206,2152,01/04/90
206,595,01/04/90
206,2482,01/04/90
206,859,01/04/90
206,1166,01/04/90
206,226,01/04/90
206,873,01/04/90
206,6356,01/04/90
206,4007,01/04/90
206,3691,01/04/90
206,2358,01/04/90
206,6396,01/04/90
206,5218,01/04/90
206,2273,01/04/91
206,2946,01/04/91
206,862,01/04/91
206,2778,01/04/91
206,4124,01/04/91
206,1449,01/04/91
206,3814,01/04/91
206,2922,01/04/91
206,3928,01/04/91
206,857,01/04/91
206,2653,01/04/91
206,4844,01/04/91
206,5021,01/04/91
206,1962,01/04/91
206,666,01/04/91
206,468,01/04/91
208,468,11/08/17
206,4070,01/04/91
206,2522,01/04/91
206,554,01/04/91
206,2386,01/04/91
206,3517,01/04/91
206,4219,01/04/91
206,3843,01/04/91
206,5651,01/04/91
206,5860,01/04/91
206,3557,01/04/91
206,3752,01/04/91
206,3463,01/04/91
206,6182,01/04/91
206,3816,01/04/91
206,5874,01/04/91
206,578,01/04/91
208,578,11/03/15
206,3572,01/04/91
206,912,01/04/91
206,3804,01/04/91
206,5638,01/04/91
206,30,01/04/91
206,1339,01/04/91
206,1197,01/04/91
206,3375,01/04/91
212,3375,31/08/07
206,2253,01/04/91
206,2338,01/04/91
206,3212,01/04/91
206,6533,01/04/91
206,2375,01/04/91
206,6324,01/04/91
206,1251,01/04/91
206,3089,01/04/91
206,879,01/04/91
211,5169,26/04/04
206,1615,01/04/91
206,6458,01/04/91
207,6458,01/04/91
206,1306,01/04/91
206,4170,01/04/91
206,5003,01/04/91
207,5003,01/04/91
206,5644,01/04/91
201,2017,01/04/91
206,2017,01/04/91
206,5423,01/04/91
206,931,01/04/91
206,2497,01/04/91
206,653,01/04/91
206,1211,01/04/91
206,1973,01/04/91
206,598,01/04/91
206,2326,01/04/91
206,5878,01/04/91
206,2612,01/04/91
206,2468,01/04/91
206,5052,01/04/91
206,283,01/04/91
206,4146,01/04/91
206,3775,01/04/91
206,5670,01/04/91
206,2114,01/04/91
206,3608,01/04/91
206,3723,01/04/91
206,3774,01/04/91
206,1555,01/04/91
206,2860,01/04/91
206,3149,01/04/91
206,6316,01/04/91
206,1582,01/04/91
206,1264,01/04/91
206,2211,01/04/91
206,1151,01/04/91
206,3006,01/04/91
206,4973,01/04/91
206,3575,01/04/91
206,5432,01/04/91
206,4692,01/04/91
201,4692,30/03/05
206,4245,01/04/92
208,4245,14/03/05
206,4872,01/04/92
212,4872,29/08/16
213,4872,29/08/16
206,4736,01/04/92
208,4736,01/03/04
206,1376,01/04/92
206,5779,01/04/92
206,3250,01/04/92
206,137,01/04/92
206,1042,01/04/92
206,563,01/04/92
206,5724,01/04/92
206,3770,01/04/92
206,3795,01/04/92
206,3787,01/04/92
206,2349,01/04/92
206,5050,01/04/92
206,3341,01/04/92
206,2345,01/04/92
206,3170,01/04/92
206,3508,01/04/92
206,4554,01/04/92
206,673,01/04/92
206,5037,01/04/92
206,6183,01/04/92
205,6064,01/04/92
206,6062,01/04/92
208,6062,19/04/10
206,2677,01/04/92
206,2305,01/04/92
206,317,01/04/92
206,1057,01/04/92
206,3360,01/04/92
206,3598,01/04/92
206,540,01/04/92
206,2602,01/04/92
201,5441,01/04/92
205,4546,01/04/92
206,1946,01/04/92
206,6315,01/04/92
206,5421,01/04/92
206,6450,01/04/92
206,2643,01/04/92
204,1059,01/04/92
206,1059,01/04/92
206,1397,01/04/92
201,3133,01/04/92
203,3133,01/04/92
211,6128,26/04/04
206,2609,01/04/92
206,4040,01/04/92
206,1455,01/04/92
206,2959,01/04/92
206,1348,01/04/92
209,4992,01/04/92
206,4908,01/04/92
206,4916,01/04/92
206,4624,01/04/92
206,2598,01/04/92
206,4294,01/04/92
206,4189,01/04/92
206,3000,01/04/92
206,1468,01/04/92
206,1403,01/04/92
207,1403,01/04/92
208,1403,19/03/07
206,2477,01/04/92
206,3047,01/04/92
206,5116,01/04/92
206,4267,01/04/92
206,5056,01/04/92
206,4542,01/04/92
206,1501,01/04/92
211,2807,26/04/04
206,1187,01/04/92
206,4797,01/04/92
206,6405,01/04/92
206,5274,01/04/92
206,4607,01/04/92
206,82,01/04/92
206,6042,01/04/92
206,1710,01/04/92
206,2025,01/04/92
206,1915,01/04/92
206,6272,01/04/92
206,291,01/04/92
206,6412,01/04/92
206,1268,01/04/92
206,3880,01/04/92
206,2561,01/04/92
206,3829,01/04/92
206,5526,01/04/92
206,4440,01/04/92
206,2105,01/04/92
206,2281,01/04/92
206,2847,01/04/92
211,4859,27/04/04
206,4847,01/04/92
206,620,01/04/92
206,4206,01/04/92
206,4801,01/04/92
206,3414,01/04/93
206,5714,01/04/93
206,3309,01/04/93
206,4899,01/04/93
206,5461,01/04/93
206,45,01/04/93
206,1015,01/04/93
206,6425,01/04/93
206,2391,01/04/93
206,3623,01/04/93
206,1441,01/04/93
206,2227,01/04/93
206,3886,01/04/93
206,3856,01/04/93
206,1044,01/04/93
206,2256,01/04/93
206,2315,01/04/93
206,5723,01/04/93
206,5299,01/04/93
206,5673,01/04/93
206,6055,01/04/93
206,248,01/04/93
206,36,01/04/93
206,352,01/04/93
206,2692,01/04/93
206,4884,01/04/93
206,366,01/04/93
206,1033,01/04/93
201,3711,01/04/93
204,3711,01/04/93
206,3711,01/04/93
206,702,01/04/93
206,61,01/04/93
206,2387,01/04/93
206,4301,01/04/93
207,4301,01/04/93
206,5167,01/04/93
206,4666,01/04/93
208,4666,19/04/10
206,1257,01/04/93
206,592,01/04/93
206,2529,01/04/93
206,1386,01/04/93
206,5923,01/04/93
206,231,01/04/93
206,1359,01/04/93
206,1174,01/04/93
204,3497,01/04/93
206,3404,01/04/93
204,2937,01/04/93
206,2937,01/04/93
203,2937,01/03/11
206,1767,01/04/93
204,4168,01/04/93
206,4766,01/04/93
206,4882,01/04/93
206,156,01/04/93
206,3281,01/04/93
206,1829,01/04/93
210,1829,01/04/93
206,3256,01/04/93
206,3050,01/04/93
206,3229,01/04/93
206,4788,01/04/93
206,4076,01/04/93
206,2921,01/04/93
206,4475,01/04/93
206,6353,01/04/93
206,1072,01/04/93
206,2712,01/04/93
206,843,01/04/93
206,6231,01/04/93
206,3684,01/04/93
206,420,01/04/93
206,5897,01/04/93
206,568,01/04/93
206,3181,01/04/93
206,1964,01/04/93
212,1964,13/12/07
206,2975,01/04/93
206,804,01/04/93
206,5565,01/04/93
206,1994,01/04/93
205,697,01/04/93
206,697,01/04/93
206,4285,01/04/93
206,4425,01/04/93
206,6372,01/04/93
206,5888,01/04/93
206,4580,01/04/93
206,6127,01/04/93
206,2465,01/04/93
206,2320,01/04/93
206,1876,01/04/93
206,4427,01/04/93
206,1747,01/04/93
206,2436,01/04/93
206,933,01/04/93
206,4768,01/04/93
208,4768,20/03/03
206,2125,01/04/93
208,2125,06/04/16
206,5187,01/04/93
206,3781,01/04/93
206,4449,01/04/93
206,2910,01/04/93
206,2723,01/04/93
206,3301,01/04/93
206,3094,01/04/93
206,4102,01/04/93
206,4541,01/04/93
206,2229,01/04/93
206,3284,01/04/93
206,4420,01/04/93
208,4420,20/04/12
206,5862,01/04/93
205,580,01/04/93
206,5920,01/04/93
206,6456,01/04/93
206,2905,01/04/93
206,3942,01/04/93
206,6129,01/04/93
206,3086,01/04/93
206,3443,01/04/93
206,3638,01/04/94
206,3988,01/04/94
206,6434,01/04/94
206,5149,01/04/94
206,2789,01/04/94
206,1405,01/04/94
206,5115,01/04/94
206,2827,01/04/94
204,2453,01/04/94
206,2453,01/04/94
206,397,01/04/94
206,1891,01/04/94
201,1891,01/03/04
206,4729,01/04/94
206,4103,01/04/94
206,652,01/04/94
206,6087,01/04/94
206,556,01/04/94
206,1611,01/04/94
208,1611,13/03/03
206,3398,01/04/94
206,2346,01/04/94
206,1606,01/04/94
206,13,01/04/94
206,29,01/04/94
206,4231,01/04/94
206,5809,01/04/94
206,3946,01/04/94
206,3643,01/04/94
206,3116,01/04/94
206,2471,01/04/94
206,3485,01/04/94
206,3165,01/04/94
201,5266,01/04/94
204,5266,01/04/94
203,5266,16/12/02
206,1726,01/04/94
206,1105,01/04/94
206,6406,01/04/94
206,3974,01/04/94
206,2572,01/04/94
206,4629,01/04/94
207,4629,01/04/94
204,4611,01/04/94
206,4479,01/04/94
206,4792,01/04/94
206,197,01/04/94
206,548,01/04/94
210,548,01/04/94
206,4755,01/04/94
206,3973,01/04/94
206,3857,01/04/94
206,3310,01/04/94
201,5447,01/04/94
206,223,01/04/94
206,4889,01/04/94
206,98,01/04/94
206,4290,01/04/94
206,1635,01/04/94
206,1399,01/04/94
207,1399,01/03/04
206,128,01/04/94
206,3221,01/04/94
206,5669,01/04/94
206,2753,01/04/94
206,6281,01/04/94
206,4127,01/04/94
206,3192,01/04/94
206,720,01/04/94
203,2218,01/04/94
204,2218,01/04/94
206,2289,01/04/94
201,2289,19/02/09
204,983,01/04/94
206,983,01/04/94
206,5758,01/04/94
206,3862,01/04/94
206,3634,01/04/94
206,3150,01/04/94
206,1313,01/04/94
206,2268,01/04/94
206,2340,01/04/94
206,1215,01/04/94
206,3670,01/04/94
206,3031,01/04/94
206,1152,01/04/94
206,5391,01/04/94
206,5977,01/04/94
206,5506,01/04/94
206,709,01/04/94
206,6340,01/04/94
206,348,01/04/94
206,5018,01/04/94
206,6430,01/04/94
206,4931,01/04/94
206,1554,01/04/94
206,76,01/04/94
206,2317,01/04/94
206,5310,01/04/94
206,6214,01/04/94
206,4332,01/04/94
204,4682,01/04/94
206,1218,01/04/94
206,645,01/04/94
206,1546,01/04/94
206,3963,01/04/94
206,6,01/04/94
206,917,01/04/94
206,2532,01/04/94
206,3114,01/04/94
206,3503,01/04/94
206,1967,01/04/94
206,2204,01/04/94
206,1,01/04/94
206,812,01/04/94
206,312,01/04/94
206,4814,01/04/94
206,1284,01/04/94
206,1598,01/04/94
206,3997,01/04/94
206,5674,01/04/94
206,4881,01/04/94
206,3941,01/04/94
206,1319,01/04/94
201,1271,01/04/94
203,1271,01/04/94
205,1271,01/04/94
206,1259,01/04/94
206,457,01/04/94
206,210,01/04/94
206,586,01/04/94
206,2557,01/04/94
206,2275,01/04/94
206,6309,01/04/94
206,2167,01/04/94
206,1839,01/04/94
206,4233,01/04/94
206,3276,01/04/94
206,4941,01/04/94
206,3218,01/04/94
